"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"3235","AC009139.1",373,"AC009139.1","OK","treatmentcontrol",1.047651483,0.111783594,9.372139944,9.97e-21,1.281937602,"count",2.87e-16
"3236","ANKS6",628,"ANKS6","OK","treatmentcontrol",0.972938297,0.073120191,13.30601409,8.19e-40,1.281895535,"count",2.54e-35
"3240","IL1RAP",690,"IL1RAP","OK","treatmentcontrol",0.963249624,0.081542986,11.81278338,7.78e-32,1.279380768,"count",2.36e-27
"3243","HUWE1",2897,"HUWE1","OK","treatmentcontrol",0.896304947,0.027465453,32.63390321,1.52e-214,1.278083413,"count",5.35e-210
"3245","AP000487.1",297,"AP000487.1","OK","treatmentcontrol",1.087548926,0.117227315,9.277265534,2.41e-20,1.276902648,"count",6.91e-16
"3247","GJC1",287,"GJC1","OK","treatmentcontrol",1.091560381,0.109762473,9.944750273,4.07e-23,1.276420888,"count",1.19e-18
"3249","AL513550.1",335,"AL513550.1","OK","treatmentcontrol",1.067913924,0.108227443,9.867311788,8.73e-23,1.275097594,"count",2.54e-18
"3251","FCF1",891,"FCF1","OK","treatmentcontrol",0.939412122,0.059765735,15.71823927,1.51e-54,1.274166965,"count",4.83e-50
"3253","STX17-AS1",255,"STX17-AS1","OK","treatmentcontrol",1.119890108,0.132977431,8.421655483,4.63e-17,1.273136704,"count",1.3e-12
"3254","LIN9",409,"LIN9","OK","treatmentcontrol",1.02030571,0.099940681,10.20911302,2.9e-24,1.272239494,"count",8.5e-20
"3256","ARHGEF26",628,"ARHGEF26","OK","treatmentcontrol",0.953041447,0.064336379,14.81341448,9.33e-49,1.271400681,"count",2.95e-44
"3258","KDM1B",2258,"KDM1B","OK","treatmentcontrol",0.897433759,0.039082164,22.96274497,9.72e-112,1.269441681,"count",3.29e-107
"3259","ELMSAN1",1137,"ELMSAN1","OK","treatmentcontrol",0.915521705,0.048344414,18.93748671,1.21e-77,1.268328002,"count",3.98e-73
"3261","SLC24A5",812,"SLC24A5","OK","treatmentcontrol",0.946966746,0.073340036,12.91200265,1.27e-37,1.266844271,"count",3.91e-33
"3262","ZNF362",865,"ZNF362","OK","treatmentcontrol",0.930372171,0.060029914,15.49847586,4.12e-53,1.266338816,"count",1.31e-48
"3263","TPBG",1292,"TPBG","OK","treatmentcontrol",0.911040977,0.051818051,17.58153695,1.9e-67,1.266314665,"count",6.18e-63
"3264","USP13",876,"USP13","OK","treatmentcontrol",0.932504502,0.060701255,15.3621947,3.13e-52,1.266068304,"count",9.96e-48
"3265","RAB31",341,"RAB31","OK","treatmentcontrol",0.998938604,0.086992527,11.48303928,3.41e-30,1.26437602,"count",1.03e-25
"3267","C14orf132",1838,"C14orf132","OK","treatmentcontrol",0.896954023,0.038488698,23.30434799,6.93e-115,1.263649465,"count",2.35e-110
"3270","ADGRA2",353,"ADGRA2","OK","treatmentcontrol",1.03401051,0.089861552,11.50670657,2.61e-30,1.262954622,"count",7.85e-26
"3271","TTC25",656,"TTC25","OK","treatmentcontrol",0.96062569,0.076625305,12.53666384,1.36e-35,1.262345771,"count",4.17e-31
"3274","GPD1L",337,"GPD1L","OK","treatmentcontrol",1.043448413,0.099077269,10.53166302,1.05e-25,1.260456186,"count",3.11e-21
"3277","CRIM1-DT",321,"CRIM1-DT","OK","treatmentcontrol",1.043727143,0.105158971,9.925231587,4.94e-23,1.258157621,"count",1.44e-18
"3280","LONRF2",376,"LONRF2","OK","treatmentcontrol",1.012984483,0.102584332,9.874651046,8.12e-23,1.255253392,"count",2.36e-18
"3282","C9orf85",1243,"C9orf85","OK","treatmentcontrol",0.905559328,0.052674009,17.1917676,1.21e-64,1.253790026,"count",3.94e-60
"3284","ZNF169",343,"ZNF169","OK","treatmentcontrol",1.032594079,0.109034684,9.470326658,3.97e-21,1.25023666,"count",1.14e-16
"3286","KIAA0753",676,"KIAA0753","OK","treatmentcontrol",0.94404711,0.071977735,13.11582124,9.52e-39,1.249932905,"count",2.94e-34
"3287","TTC12",643,"TTC12","OK","treatmentcontrol",0.947089049,0.074257479,12.75412334,9.23e-37,1.249854538,"count",2.83e-32
"3289","ELMO2",764,"ELMO2","OK","treatmentcontrol",0.932171124,0.064965016,14.34881705,6.62e-46,1.249538744,"count",2.08e-41
"3290","TPCN2",229,"TPCN2","OK","treatmentcontrol",1.129520233,0.127398676,8.866028023,9.95e-19,1.249418254,"count",2.83e-14
"3292","SLC15A2",227,"SLC15A2","OK","treatmentcontrol",1.136147625,0.134793041,8.428829997,4.36e-17,1.248212521,"count",1.23e-12
"3293","ZGRF1",626,"ZGRF1","OK","treatmentcontrol",0.947380644,0.07568107,12.51806619,1.71e-35,1.247681353,"count",5.24e-31
"3294","LINC00845",250,"LINC00845","OK","treatmentcontrol",1.105804202,0.134172093,8.241685531,2.08e-16,1.245342288,"count",5.82e-12
"3295","APPBP2",2618,"APPBP2","OK","treatmentcontrol",0.874195919,0.029883292,29.25366843,1.5e-175,1.24316631,"count",5.23e-171
"3297","PTBP3",2202,"PTBP3","OK","treatmentcontrol",0.876159546,0.03342245,26.21470108,3.24e-143,1.241644874,"count",1.12e-138
"3298","AMOTL2",1611,"AMOTL2","OK","treatmentcontrol",0.883006794,0.039082778,22.59324539,2.23e-108,1.241053921,"count",7.54e-104
"3299","STRN",1651,"STRN","OK","treatmentcontrol",0.883969249,0.041272685,21.41777929,5.42e-98,1.240572582,"count",1.82e-93
"3300","FAM241A",204,"FAM241A","OK","treatmentcontrol",1.129590225,0.141555191,7.979857285,1.75e-15,1.240148303,"count",4.86e-11
"3302","GABPB1",990,"GABPB1","OK","treatmentcontrol",0.905962147,0.055526665,16.31580342,1.53e-58,1.239018926,"count",4.92e-54
"3303","PAPOLG",1743,"PAPOLG","OK","treatmentcontrol",0.881676943,0.040941297,21.53514907,5.22e-99,1.237837799,"count",1.75e-94
"3305","TMEM269",326,"TMEM269","OK","treatmentcontrol",1.040902803,0.11167692,9.320661787,1.61e-20,1.237266904,"count",4.63e-16
"3307","NUP107",1495,"NUP107","OK","treatmentcontrol",0.88587322,0.044082669,20.09572559,7.07e-87,1.236390604,"count",2.35e-82
"3308","FBXO27",327,"FBXO27","OK","treatmentcontrol",1.026410693,0.105621078,9.717858495,3.74e-22,1.235737778,"count",1.08e-17
"3309","ZNF547",261,"ZNF547","OK","treatmentcontrol",1.087729578,0.122050835,8.912102691,6.61e-19,1.235258782,"count",1.88e-14
"3310","CERNA1",510,"CERNA1","OK","treatmentcontrol",0.967344432,0.087898501,11.00524374,6.81e-28,1.234451154,"count",2.03e-23
"3315","WDR4",317,"WDR4","OK","treatmentcontrol",1.044013225,0.108274828,9.642252488,7.74e-22,1.233333946,"count",2.24e-17
"3317","LXN",575,"LXN","OK","treatmentcontrol",0.952518024,0.08664526,10.9933079,7.76e-28,1.23285137,"count",2.31e-23
"3318","DCTN4",2272,"DCTN4","OK","treatmentcontrol",0.869734837,0.034037797,25.55203081,1.57e-136,1.231650549,"count",5.39e-132
"3321","MIATNB",494,"MIATNB","OK","treatmentcontrol",0.962442221,0.08797906,10.93944649,1.39e-27,1.230226564,"count",4.14e-23
"3322","ARL13B",2843,"ARL13B","OK","treatmentcontrol",0.863429288,0.030537852,28.27406743,7.8e-165,1.229242847,"count",2.72e-160
"3323","PAWR",609,"PAWR","OK","treatmentcontrol",0.924372686,0.071741508,12.88476791,1.79e-37,1.227963049,"count",5.51e-33
"3330","GMEB2",528,"GMEB2","OK","treatmentcontrol",0.951924752,0.077983185,12.20679506,7.45e-34,1.223751051,"count",2.27e-29
"3331","ECD",1594,"ECD","OK","treatmentcontrol",0.874132976,0.042394612,20.61896386,3.33e-91,1.222407705,"count",1.11e-86
"3332","RAB10",2486,"RAB10","OK","treatmentcontrol",0.859900501,0.030489983,28.20272202,4.59e-164,1.221842381,"count",1.6e-159
"3333","CLIP1",2070,"CLIP1","OK","treatmentcontrol",0.862764935,0.034501554,25.00655311,3.94e-131,1.221738544,"count",1.35e-126
"3335","PECR",790,"PECR","OK","treatmentcontrol",0.911524042,0.065405246,13.9365586,1.91e-43,1.220240544,"count",5.95e-39
"3338","ZNF700",531,"ZNF700","OK","treatmentcontrol",0.945981955,0.079249956,11.93668748,1.83e-32,1.219775263,"count",5.56e-28
"3341","USP3",2735,"USP3","OK","treatmentcontrol",0.855781837,0.029425399,29.08310078,1.15e-173,1.218586499,"count",4.02e-169
"3342","SETD1B",750,"SETD1B","OK","treatmentcontrol",0.910330329,0.061616753,14.77407182,1.64e-48,1.218383661,"count",5.18e-44
"3346","MRLN",600,"MRLN","OK","treatmentcontrol",0.903144476,0.06289085,14.36050673,5.62e-46,1.21665607,"count",1.77e-41
"3348","AC092140.1",453,"AC092140.1","OK","treatmentcontrol",0.967967097,0.090563909,10.68822127,2.04e-26,1.215979061,"count",6.04e-22
"3349","ADAM12",526,"ADAM12","OK","treatmentcontrol",0.943693015,0.092033354,10.25381531,1.84e-24,1.215220025,"count",5.41e-20
"3350","SMG5",1583,"SMG5","OK","treatmentcontrol",0.869006456,0.044534683,19.51302675,3.58e-82,1.213687006,"count",1.19e-77
"3351","Z68871.1",216,"Z68871.1","OK","treatmentcontrol",1.115966138,0.130522133,8.550014555,1.56e-17,1.213671478,"count",4.39e-13
"3353","ITPR2",361,"ITPR2","OK","treatmentcontrol",0.981363279,0.106440887,9.219796112,4.09e-20,1.21275602,"count",1.17e-15
"3354","GIGYF2",3048,"GIGYF2","OK","treatmentcontrol",0.849663093,0.026381566,32.20669679,1.88e-209,1.212668421,"count",6.64e-205
"3356","MTRR",690,"MTRR","OK","treatmentcontrol",0.919755469,0.075494564,12.18306887,9.89e-34,1.212240195,"count",3.01e-29
"3357","WDR66",405,"WDR66","OK","treatmentcontrol",0.976941016,0.098353036,9.933003179,4.57e-23,1.211516331,"count",1.33e-18
"3363","TULP4",3937,"TULP4","OK","treatmentcontrol",0.843076622,0.021253585,39.66750129,1.5e-304,1.208827369,"count",5.35e-300
"3367","GSDMB",273,"GSDMB","OK","treatmentcontrol",1.050364825,0.115822881,9.068716121,1.62e-19,1.206287695,"count",4.63e-15
"3372","NAV1",417,"NAV1","OK","treatmentcontrol",0.94456682,0.097950215,9.643335893,7.66e-22,1.203409177,"count",2.22e-17
"3375","LAMA5",581,"LAMA5","OK","treatmentcontrol",0.912378406,0.066167789,13.78886042,1.4e-42,1.202490703,"count",4.35e-38
"3378","SAXO2",585,"SAXO2","OK","treatmentcontrol",0.922848607,0.080443705,11.47198042,3.86e-30,1.201333763,"count",1.16e-25
"3382","PTCH2",260,"PTCH2","OK","treatmentcontrol",1.04476257,0.119319457,8.756011782,2.62e-18,1.199246753,"count",7.43e-14
"3384","ASCC1",1553,"ASCC1","OK","treatmentcontrol",0.855877688,0.041881812,20.43554596,1.12e-89,1.198369274,"count",3.74e-85
"3385","SH3GL3",536,"SH3GL3","OK","treatmentcontrol",0.920332882,0.089126633,10.3261265,8.81e-25,1.197930386,"count",2.59e-20
"3386","CDC37L1-DT",288,"CDC37L1-DT","OK","treatmentcontrol",1.035714423,0.120140467,8.620862295,8.48e-18,1.197894123,"count",2.39e-13
"3388","TPP2",1752,"TPP2","OK","treatmentcontrol",0.852475002,0.04058813,21.00306172,1.93e-94,1.1970551,"count",6.46e-90
"3391","GATAD2B",2553,"GATAD2B","OK","treatmentcontrol",0.838829192,0.028598481,29.33124997,2.07e-176,1.194314034,"count",7.22e-172
"3392","NOMO3",300,"NOMO3","OK","treatmentcontrol",1.012182022,0.110069636,9.195833274,5.09e-20,1.194268888,"count",1.46e-15
"3394","FGD1",612,"FGD1","OK","treatmentcontrol",0.909756606,0.070336182,12.93440413,9.58e-38,1.192443038,"count",2.95e-33
"3398","UGGT1",1092,"UGGT1","OK","treatmentcontrol",0.865516774,0.052599555,16.45483075,1.72e-59,1.189675485,"count",5.54e-55
"3400","CD99",461,"CD99","OK","treatmentcontrol",0.919643167,0.082168328,11.19218549,8.79e-29,1.188985776,"count",2.63e-24
"3404","PDE4C",269,"PDE4C","OK","treatmentcontrol",1.022034319,0.118563376,8.62015195,8.53e-18,1.186292558,"count",2.41e-13
"3405","NOTCH2",326,"NOTCH2","OK","treatmentcontrol",0.963249624,0.094222595,10.22312769,2.51e-24,1.186198799,"count",7.38e-20
"3406","GNPTAB",1206,"GNPTAB","OK","treatmentcontrol",0.858022374,0.052100007,16.46875738,1.38e-59,1.185130957,"count",4.44e-55
"3407","GATAD2A",2195,"GATAD2A","OK","treatmentcontrol",0.83735148,0.035166144,23.81129671,1.26e-119,1.184923884,"count",4.29e-115
"3410","SRGAP2B",1019,"SRGAP2B","OK","treatmentcontrol",0.862027611,0.055480485,15.53749234,2.3e-53,1.183844894,"count",7.33e-49
"3413","MYH15",403,"MYH15","OK","treatmentcontrol",0.946656182,0.099638377,9.500919345,2.97e-21,1.182474587,"count",8.58e-17
"3417","MAP4K4",2702,"MAP4K4","OK","treatmentcontrol",0.828126117,0.02859195,28.96361077,2.38e-172,1.181111809,"count",8.32e-168
