"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"833","NSMCE3",2761,"NSMCE3","OK","treatmentcontrol",-0.856865117,0.037792778,-22.67272099,4.26e-109,-1.214070603,"count",1.44e-104
"835","C1orf109",1379,"C1orf109","OK","treatmentcontrol",-0.881968006,0.060661008,-14.53929025,4.59e-47,-1.213764944,"count",1.45e-42
"836","TRAM1",3339,"TRAM1","OK","treatmentcontrol",-0.850580264,0.033001799,-25.77375421,9.41e-139,-1.213724402,"count",3.24e-134
"837","TUSC2",2994,"TUSC2","OK","treatmentcontrol",-0.854611487,0.03558924,-24.01319861,1.55e-121,-1.21353952,"count",5.27e-117
"838","AC010319.5",302,"AC010319.5","OK","treatmentcontrol",-1.108381581,0.178297628,-6.216468456,5.44e-10,-1.213410693,"count",1.02e-05
"840","UNC50",3387,"UNC50","OK","treatmentcontrol",-0.851288853,0.032691953,-26.03970609,1.94e-141,-1.212925056,"count",6.7e-137
"842","AP001160.3",672,"AP001160.3","OK","treatmentcontrol",-0.943861123,0.0982415,-9.607560197,1.08e-21,-1.212741364,"count",3.12e-17
"844","PSMB1",5421,"PSMB1","OK","treatmentcontrol",-0.84209046,0.016020752,-52.56248039,0,-1.211914302,"count",0
"845","SS18L2",2970,"SS18L2","OK","treatmentcontrol",-0.85381206,0.035908369,-23.77752288,2.62e-119,-1.211573139,"count",8.93e-115
"848","PIGW",445,"PIGW","OK","treatmentcontrol",-1.004844893,0.119493278,-8.409216877,5.15e-17,-1.210160055,"count",1.45e-12
"850","AC099791.2",300,"AC099791.2","OK","treatmentcontrol",-1.091669286,0.157290725,-6.940455555,4.34e-12,-1.209604244,"count",1.16e-07
"852","MHENCR",2793,"MHENCR","OK","treatmentcontrol",-0.852532659,0.041385376,-20.59985273,4.81e-91,-1.209071353,"count",1.6e-86
"853","GGCX",2088,"GGCX","OK","treatmentcontrol",-0.861616753,0.047345109,-18.19864328,5.27e-72,-1.208932656,"count",1.72e-67
"854","AC112220.2",463,"AC112220.2","OK","treatmentcontrol",-0.997509081,0.126750856,-7.869840996,4.21e-15,-1.207587088,"count",1.16e-10
"855","IFITM3",450,"IFITM3","OK","treatmentcontrol",-0.896574432,0.121011444,-7.409005328,1.46e-13,-1.207581395,"count",3.97e-09
"857","AC007405.3",1159,"AC007405.3","OK","treatmentcontrol",-0.890374104,0.075433549,-11.8034233,8.67e-32,-1.206992474,"count",2.63e-27
"858","SSNA1",3744,"SSNA1","OK","treatmentcontrol",-0.844386679,0.02852585,-29.60075451,2.06e-179,-1.206291562,"count",7.2e-175
"859","EID2B",2851,"EID2B","OK","treatmentcontrol",-0.851200179,0.037983229,-22.40989493,9.97e-107,-1.205857016,"count",3.37e-102
"860","ZNF414",1806,"ZNF414","OK","treatmentcontrol",-0.864676633,0.051467868,-16.80031956,7.01e-62,-1.205529386,"count",2.27e-57
"861","AC092171.4",420,"AC092171.4","OK","treatmentcontrol",-1.010658243,0.132519801,-7.626469668,2.8e-14,-1.205091778,"count",7.7e-10
"862","PPP2R5B",1823,"PPP2R5B","OK","treatmentcontrol",-0.861912623,0.049953129,-17.254427,4.34e-65,-1.205061916,"count",1.41e-60
"865","RAB11B",3315,"RAB11B","OK","treatmentcontrol",-0.844038079,0.030602479,-27.58070973,2.04e-157,-1.203213677,"count",7.1e-153
"866","SAMM50",2423,"SAMM50","OK","treatmentcontrol",-0.851202962,0.04060149,-20.96482085,4.08e-94,-1.203102328,"count",1.36e-89
"867","RHOT2",2324,"RHOT2","OK","treatmentcontrol",-0.852998195,0.044436224,-19.19600978,1.16e-79,-1.201696034,"count",3.82e-75
"871","CHMP2B",2504,"CHMP2B","OK","treatmentcontrol",-0.846469079,0.040348993,-20.97869152,3.11e-94,-1.199441737,"count",1.04e-89
"872","LHX1-DT",215,"LHX1-DT","OK","treatmentcontrol",-1.13469888,0.196608672,-5.771357226,8.27e-09,-1.198956254,"count",0.00015053
"873","POU3F1",841,"POU3F1","OK","treatmentcontrol",-0.892740065,0.084200513,-10.60254904,5.02e-26,-1.198536209,"count",1.49e-21
"877","LINC02298",561,"LINC02298","OK","treatmentcontrol",-0.953152291,0.110370916,-8.635900892,7.44e-18,-1.196612655,"count",2.1e-13
"878","BOD1",4040,"BOD1","OK","treatmentcontrol",-0.83647585,0.027091562,-30.87588117,6.94e-194,-1.19628954,"count",2.44e-189
"879","ZNF865",793,"ZNF865","OK","treatmentcontrol",-0.908278634,0.077873147,-11.66356657,4.36e-31,-1.195809363,"count",1.32e-26
"880","ZNF550",618,"ZNF550","OK","treatmentcontrol",-0.934028202,0.098731444,-9.460291138,4.36e-21,-1.19464658,"count",1.26e-16
"881","GPRASP1",787,"GPRASP1","OK","treatmentcontrol",-0.907068712,0.085718786,-10.58191275,6.24e-26,-1.194161341,"count",1.84e-21
"883","LRRC47",1745,"LRRC47","OK","treatmentcontrol",-0.857509393,0.051955196,-16.50478588,7.81e-60,-1.193590165,"count",2.52e-55
"886","MCOLN1",1282,"MCOLN1","OK","treatmentcontrol",-0.870425434,0.063365891,-13.73649804,2.82e-42,-1.191898865,"count",8.77e-38
