"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"455","GPNMB",-1.058500029,-1.187387691,287,0.004788136
"456","PMP22",-1.287663579,-1.162937864,363,5.64e-24
"457","ADAMTS1",-1.519757788,-1.160700679,327,1.02e-14
"459","SOX9",-1.072399997,-1.149049576,571,1.31e-14
"460","GCK",-1.137730083,-1.148347866,325,3.97e-07
"461","CDR1",-2.614499878,-1.13646021,222,4.03e-17
"462","GAS1",-1.22531247,-1.130724544,498,5.82e-25
"463","HLA-E",-1.491052734,-1.123021153,348,9.39e-21
"464","FZD10-AS1",-1.046593788,-1.116230327,627,0.001225063
"465","MAB21L2",-1.320723827,-1.115902747,247,4.67e-10
"466","AP000997.3",-1.300414912,-1.112051255,338,2.92e-12
"467","PMAIP1",-1.119173849,-1.103503517,294,5.94e-05
"468","MXRA8",-1.273200147,-1.102903708,367,9.41e-28
"469","FOLR1",-1.286924004,-1.077138042,213,1.08e-08
"470","RARRES2",-1.003372602,-1.073686078,600,2.76e-12
"471","EFNA4",-1.844713934,-1.070798547,258,4.23e-32
"472","AC016717.2",-1.252004157,-1.036390227,262,9.74e-05
"473","DIO3OS",-2.032962249,-1.03081477,264,1.16e-18
"474","AL136524.1",-1.204253228,-1.005436835,257,3.95e-11
"475","FAM131C",-1.014101426,-1.00500985,378,2.64e-10
"476","COL9A3",-1.866629426,-1.003818245,250,7.07e-24
"477","PDE6A",-1.093659004,-0.995336712,543,1.87e-20
"478","FGF9",-1.105513843,-0.961545988,318,6.21e-05
"479","SLITRK2",-1.061826391,-0.948523927,425,2.48e-16
"480","EFNB1",-1.16935926,-0.946904286,321,1.09e-11
"481","SOX8",-1.46894736,-0.931089328,298,1.87e-21
"482","KCNA2",-1.143251686,-0.926862642,214,4.76e-05
"483","E2F1",-1.000294921,-0.872723015,270,9.78e-06
"484","KDR",-1.160846022,-0.860396006,362,1.3e-10
"486","SERINC2",-1.462062398,-0.852248465,200,7.29e-07
"487","GAD2",-1.152597142,-0.823290281,201,2.04e-09
"488","F3",-1.587971631,-0.822853859,278,7.87e-06
