"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"177","FAM138B",345,"FAM138B","OK","treatmentcontrol",-1.021388435,0.112218666,-9.101769532,1.43e-19,-1.28289912,"count",3.32e-15
"179","SNRNP48",363,"SNRNP48","OK","treatmentcontrol",-1.004361619,0.113589109,-8.842059163,1.43e-18,-1.269191447,"count",3.32e-14
"180","TIGD2",346,"TIGD2","OK","treatmentcontrol",-1.009072693,0.109783604,-9.191469944,6.34e-20,-1.269188144,"count",1.48e-15
"181","CCDC121",230,"CCDC121","OK","treatmentcontrol",-1.087821326,0.150521522,-7.227015193,5.98e-13,-1.269137515,"count",1.33e-08
"186","MPDU1",234,"MPDU1","OK","treatmentcontrol",-1.045791793,0.138715362,-7.539120269,5.94e-14,-1.233494878,"count",1.33e-09
"187","SREBF1",217,"SREBF1","OK","treatmentcontrol",-1.048080997,0.149372225,-7.01657217,2.7e-12,-1.22782115,"count",5.96e-08
"188","ARIH2OS",252,"ARIH2OS","OK","treatmentcontrol",-1.019456245,0.133437812,-7.639935251,2.76e-14,-1.215307966,"count",6.21e-10
"190","USP19",224,"USP19","OK","treatmentcontrol",-1.029618934,0.147427666,-6.983892271,3.4e-12,-1.204343271,"count",7.5e-08
"191","ZNF687",240,"ZNF687","OK","treatmentcontrol",-1.007895423,0.13167009,-7.65470291,2.46e-14,-1.202845282,"count",5.55e-10
"192","PCDHA10",202,"PCDHA10","OK","treatmentcontrol",-1.005786459,0.159634534,-6.300556863,3.32e-10,-1.158958713,"count",7.14e-06
