"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"178","RPS3A",3233,"RPS3A","OK","treatmentcontrol",-1.080027957,0.024379815,-44.30008826,0,-1.557226719,"count",0
"181","AC097534.2",539,"AC097534.2","OK","treatmentcontrol",-1.237901233,0.103589356,-11.95008142,3.05e-32,-1.662878896,"count",7.23e-28
"183","SNHG18",283,"SNHG18","OK","treatmentcontrol",-2.263073432,0.159937307,-14.14975328,3.75e-44,-2.828974044,"count",1.26e-39
"184","BASP1",865,"BASP1","OK","treatmentcontrol",-1.645174228,0.079328741,-20.73869081,8.05e-90,-2.313724927,"count",2.83e-85
"186","RPL37",3101,"RPL37","OK","treatmentcontrol",-1.176107939,0.025267927,-46.54548642,0,-1.693484661,"count",0
"188","PLK2",231,"PLK2","OK","treatmentcontrol",-1.252376271,0.170375687,-7.350674819,2.48e-13,-1.521220942,"count",5.17e-09
"189","CCDC125",383,"CCDC125","OK","treatmentcontrol",-1.455383026,0.139921055,-10.40145838,5.99e-25,-1.856944319,"count",1.38e-20
"190","ENC1",428,"ENC1","OK","treatmentcontrol",-1.202449641,0.116088791,-10.35801678,9.31e-25,-1.571044194,"count",2.14e-20
"192","LIX1",247,"LIX1","OK","treatmentcontrol",-3.000382411,0.246218933,-12.18583142,1.96e-33,-3.711974166,"count",4.68e-29
"196","IRF1",372,"IRF1","OK","treatmentcontrol",-1.521136087,0.112839845,-13.48048725,2.43e-40,-2.019635865,"count",8.12e-36
"197","NEUROG1",202,"NEUROG1","OK","treatmentcontrol",-2.160035197,0.28200006,-7.659697649,2.44e-14,-2.589985018,"count",5.16e-10
"199","SPARC",349,"SPARC","OK","treatmentcontrol",-2.548370551,0.175634937,-14.50947401,2.87e-46,-3.277438568,"count",9.7e-42
"200","PTTG1",337,"PTTG1","OK","treatmentcontrol",-1.69359012,0.289148818,-5.857157332,5.18e-09,-2.258620342,"count",0.000100032
"205","ZNF454",316,"ZNF454","OK","treatmentcontrol",-3.415086497,0.379222213,-9.005502255,3.58e-19,-3.410955487,"count",7.91e-15
"206","GRM6",247,"GRM6","OK","treatmentcontrol",-2.056963013,0.236222305,-8.707742538,4.85e-18,-2.438337325,"count",1.06e-13
"211","FAM50B",270,"FAM50B","OK","treatmentcontrol",-1.306657419,0.147983653,-8.829741638,1.68e-18,-1.588361846,"count",3.71e-14
"212","AL031058.1",342,"AL031058.1","OK","treatmentcontrol",-1.167741603,0.122710141,-9.51626,3.38e-21,-1.489267957,"count",7.6e-17
"215","PRL",702,"PRL","OK","treatmentcontrol",-1.093506812,0.096381653,-11.34559092,2.76e-29,-1.53111126,"count",6.47e-25
"216","HIST1H3A",236,"HIST1H3A","OK","treatmentcontrol",-1.98349586,0.261786236,-7.576776714,4.59e-14,-2.183204203,"count",9.66e-10
"217","HIST1H2AB",227,"HIST1H2AB","OK","treatmentcontrol",-2.12595588,0.281293247,-7.557792096,5.3e-14,-2.300528042,"count",1.11e-09
"222","HIST1H2BF",240,"HIST1H2BF","OK","treatmentcontrol",-1.66709,0.233039633,-7.153675881,1.04e-12,-1.930620577,"count",2.15e-08
"228","TUBB",2227,"TUBB","OK","treatmentcontrol",-1.19923939,0.044964758,-26.6706513,7.08e-142,-1.719877284,"count",2.53e-137
"230","AL662844.4",262,"AL662844.4","OK","treatmentcontrol",-1.182172012,0.15001833,-7.880183782,4.42e-15,-1.444744871,"count",9.42e-11
"238","HLA-DQB1",779,"HLA-DQB1","OK","treatmentcontrol",-4.114286507,0.431775032,-9.528773563,3.01e-21,-4.855092097,"count",6.76e-17
"239","RPS18",3229,"RPS18","OK","treatmentcontrol",-1.078042588,0.02136034,-50.46935594,0,-1.55438079,"count",0
"240","SMIM40",246,"SMIM40","OK","treatmentcontrol",-1.421839673,0.137525307,-10.33874929,1.13e-24,-1.822190665,"count",2.59e-20
"241","SAYSD1",264,"SAYSD1","OK","treatmentcontrol",-1.067647146,0.133374466,-8.004884159,1.65e-15,-1.330230691,"count",3.53e-11
"245","TPBG",214,"TPBG","OK","treatmentcontrol",-2.18212615,0.248119381,-8.794662232,2.28e-18,-2.374058399,"count",5.03e-14
"246","PRSS35",287,"PRSS35","OK","treatmentcontrol",-4.599314595,0.485090761,-9.48134857,4.69e-21,-5.737522219,"count",1.05e-16
"248","ARHGAP18",449,"ARHGAP18","OK","treatmentcontrol",-2.100611778,0.138545128,-15.16193181,3.19e-50,-2.718949046,"count",1.08e-45
"249","RPS12",3227,"RPS12","OK","treatmentcontrol",-1.038550656,0.02588183,-40.12663198,2.74e-286,-1.497395828,"count",9.95e-282
"251","AKAP12",280,"AKAP12","OK","treatmentcontrol",-3.507795886,0.285592522,-12.2825201,6.29e-34,-4.187621773,"count",2.07e-29
"253","RNASET2",625,"RNASET2","OK","treatmentcontrol",-1.107263219,0.087790399,-12.61257753,1.22e-35,-1.502118358,"count",4.02e-31
"255","RAC1",1769,"RAC1","OK","treatmentcontrol",-1.095220345,0.040910741,-26.77097287,7.84e-143,-1.564318274,"count",2.8e-138
"259","VPS37D",449,"VPS37D","OK","treatmentcontrol",-1.357736786,0.109656327,-12.38174596,1.94e-34,-1.7795818,"count",6.4e-30
"260","CLDN3",309,"CLDN3","OK","treatmentcontrol",-1.147229682,0.145060795,-7.908612948,3.54e-15,-1.448423351,"count",7.54e-11
"264","TRIM4",290,"TRIM4","OK","treatmentcontrol",-4.919163886,0.83161135,-5.915219755,3.66e-09,-3.835188045,"count",7.09e-05
"265","MCM7",413,"MCM7","OK","treatmentcontrol",-1.247917811,0.113310756,-11.01323351,1.01e-27,-1.639006684,"count",2.36e-23
"268","TRIP6",266,"TRIP6","OK","treatmentcontrol",-1.337276277,0.118455117,-11.28930779,5.11e-29,-1.723453588,"count",1.2e-24
"269","SH2B2",242,"SH2B2","OK","treatmentcontrol",-1.32559462,0.161394489,-8.213382186,3.07e-16,-1.583078179,"count",6.62e-12
"271","GPR37",219,"GPR37","OK","treatmentcontrol",-3.259267749,0.251427739,-12.96303965,1.66e-37,-3.738963518,"count",5.52e-33
"273","HILPDA",718,"HILPDA","OK","treatmentcontrol",-1.321126424,0.098215425,-13.451313,3.53e-40,-1.814072172,"count",1.18e-35
"274","MEST",332,"MEST","OK","treatmentcontrol",-1.154561393,0.103578932,-11.14668182,2.41e-28,-1.547961338,"count",5.64e-24
"276","RARRES2",287,"RARRES2","OK","treatmentcontrol",-4.291269055,0.386411736,-11.10543147,3.77e-28,-5.056935463,"count",8.8e-24
"278","AF131216.3",490,"AF131216.3","OK","treatmentcontrol",-1.553357637,0.128747531,-12.06514502,8.04e-33,-2.037013644,"count",1.91e-28
"279","FGF17",299,"FGF17","OK","treatmentcontrol",-1.207611764,0.158428642,-7.62243336,3.25e-14,-1.498937626,"count",6.84e-10
"281","C8orf58",262,"C8orf58","OK","treatmentcontrol",-1.344013205,0.16233956,-8.279024564,1.79e-16,-1.623225125,"count",3.88e-12
"283","AC044849.1",285,"AC044849.1","OK","treatmentcontrol",-1.028880875,0.126514573,-8.132508793,5.92e-16,-1.294904956,"count",1.27e-11
"284","VXN",1238,"VXN","OK","treatmentcontrol",-1.591629314,0.095470413,-16.67144058,6.13e-60,-2.241391319,"count",2.11e-55
"288","KHDRBS3",338,"KHDRBS3","OK","treatmentcontrol",-1.323676665,0.109844497,-12.05045957,9.54e-33,-1.763226628,"count",2.27e-28
"289","LY6E",283,"LY6E","OK","treatmentcontrol",-1.521531578,0.168614725,-9.023717091,3.04e-19,-1.841742715,"count",6.73e-15
"291","TIGD5",500,"TIGD5","OK","treatmentcontrol",-1.001988894,0.102736899,-9.752960251,3.6e-22,-1.334257541,"count",8.14e-18
"293","RPL8",3234,"RPL8","OK","treatmentcontrol",-1.045949393,0.017991654,-58.13525639,0,-1.508079698,"count",0
"294","NFIB",334,"NFIB","OK","treatmentcontrol",-1.235175249,0.11931446,-10.35226788,9.87e-25,-1.677446372,"count",2.26e-20
"295","PLIN2",638,"PLIN2","OK","treatmentcontrol",-1.045362101,0.093604077,-11.16791211,1.92e-28,-1.416406102,"count",4.49e-24
"297","MOB3B",206,"MOB3B","OK","treatmentcontrol",-1.007140888,0.142048004,-7.090144598,1.64e-12,-1.266013535,"count",3.37e-08
"299","CNTFR",385,"CNTFR","OK","treatmentcontrol",-2.321074003,0.159295472,-14.57087248,1.24e-46,-2.901074491,"count",4.18e-42
"300","LERFS",505,"LERFS","OK","treatmentcontrol",-3.413120249,0.245021483,-13.92988159,6.98e-43,-3.870414929,"count",2.34e-38
"301","GAS1",223,"GAS1","OK","treatmentcontrol",-2.714708263,0.230158145,-11.79496934,1.8e-31,-3.140620787,"count",4.27e-27
"302","CKS2",760,"CKS2","OK","treatmentcontrol",-1.583999342,0.146011841,-10.84843076,5.85e-27,-2.186245318,"count",1.36e-22
"304","NINJ1",358,"NINJ1","OK","treatmentcontrol",-2.358676616,0.166241801,-14.18822828,2.24e-44,-2.96948741,"count",7.53e-40
"305","PTGR1",821,"PTGR1","OK","treatmentcontrol",-1.457844782,0.08639989,-16.87322488,2.69e-61,-2.012049917,"count",9.26e-57
"306","DAB2IP",206,"DAB2IP","OK","treatmentcontrol",-1.073661571,0.140606981,-7.635905174,2.93e-14,-1.283958488,"count",6.18e-10
"309","RPL7A",3220,"RPL7A","OK","treatmentcontrol",-1.128234153,0.022786858,-49.5124922,0,-1.626573081,"count",0
"310","MRPS2",853,"MRPS2","OK","treatmentcontrol",-1.035931152,0.069836974,-14.83356304,3.25e-48,-1.433441307,"count",1.1e-43
"311","LHX3",740,"LHX3","OK","treatmentcontrol",-1.474445461,0.109295963,-13.49039268,2.14e-40,-2.006449032,"count",7.15e-36
"313","AGPAT2",336,"AGPAT2","OK","treatmentcontrol",-2.045534317,0.155533526,-13.15172602,1.58e-38,-2.521561722,"count",5.26e-34
"314","DIPK1B",916,"DIPK1B","OK","treatmentcontrol",-1.095936387,0.070511589,-15.54264196,1.34e-52,-1.520384587,"count",4.57e-48
"317","ABCA2",204,"ABCA2","OK","treatmentcontrol",-1.135222676,0.167648774,-6.771434423,1.51e-11,-1.32578401,"count",3.06e-07
"319","AC069544.1",216,"AC069544.1","OK","treatmentcontrol",-1.120052994,0.17409719,-6.433492668,1.43e-10,-1.321683081,"count",2.86e-06
"321","BAMBI",340,"BAMBI","OK","treatmentcontrol",-2.205383018,0.157581652,-13.99517636,2.94e-43,-2.865269645,"count",9.88e-39
"322","ZNF248",544,"ZNF248","OK","treatmentcontrol",-6.400768435,1.114870543,-5.741266083,1.03e-08,-4.994299294,"count",0.000196904
"323","RASSF4",609,"RASSF4","OK","treatmentcontrol",-2.028749171,0.105236096,-19.27807332,1.7e-78,-2.765317651,"count",5.94e-74
"325","GDF10",274,"GDF10","OK","treatmentcontrol",-1.029446646,0.150292034,-6.849642112,8.82e-12,-1.291363654,"count",1.8e-07
"326","MRLN",418,"MRLN","OK","treatmentcontrol",-1.486033465,0.101020811,-14.71017162,1.81e-47,-1.986693806,"count",6.12e-43
"327","DDIT4",1189,"DDIT4","OK","treatmentcontrol",-1.447666665,0.073564793,-19.67879757,1.54e-81,-2.035771914,"count",5.39e-77
"328","ANXA11",228,"ANXA11","OK","treatmentcontrol",-1.162178486,0.121127469,-9.594673248,1.62e-21,-1.450418925,"count",3.64e-17
"329","RGR",279,"RGR","OK","treatmentcontrol",-2.094044688,0.167868762,-12.47429635,6.43e-35,-2.595959394,"count",2.12e-30
"331","AVPI1",373,"AVPI1","OK","treatmentcontrol",-1.568610245,0.134824812,-11.63443299,1.11e-30,-1.988724125,"count",2.62e-26
"333","LZTS2",229,"LZTS2","OK","treatmentcontrol",-1.408267595,0.154787945,-9.098044368,1.56e-19,-1.66693202,"count",3.47e-15
"334","NANOS1",1805,"NANOS1","OK","treatmentcontrol",-1.383167603,0.05634059,-24.55010872,3.14e-122,-1.967262928,"count",1.12e-117
"335","BNIP3",2460,"BNIP3","OK","treatmentcontrol",-1.107861081,0.040903066,-27.08503772,7.73e-146,-1.590713133,"count",2.76e-141
"337","B4GALNT4",301,"B4GALNT4","OK","treatmentcontrol",-1.146678305,0.120218572,-9.538279214,2.75e-21,-1.462928405,"count",6.19e-17
"338","SIGIRR",682,"SIGIRR","OK","treatmentcontrol",-1.395672906,0.091281468,-15.28977273,5.14e-51,-1.904800769,"count",1.75e-46
"339","RASSF7",312,"RASSF7","OK","treatmentcontrol",-1.298896286,0.130276092,-9.970335083,4.4e-23,-1.636297991,"count",9.99e-19
"340","IRF7",288,"IRF7","OK","treatmentcontrol",-1.079830622,0.133010102,-8.118410578,6.64e-16,-1.348887681,"count",1.43e-11
"342","PNPLA2",230,"PNPLA2","OK","treatmentcontrol",-1.289092286,0.151778748,-8.493233075,3.02e-17,-1.545968483,"count",6.57e-13
"345","TSPAN4",641,"TSPAN4","OK","treatmentcontrol",-1.068001091,0.078260496,-13.64674567,2.84e-41,-1.463514467,"count",9.52e-37
"351","SPON1",222,"SPON1","OK","treatmentcontrol",-2.321349523,0.186894781,-12.42062253,1.22e-34,-2.844603566,"count",4.03e-30
"353","RCN1",395,"RCN1","OK","treatmentcontrol",-2.05578585,0.121522253,-16.91694976,1.36e-61,-2.721695989,"count",4.69e-57
