"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"828","AC092640.1",4.926485254,2.577024456,211,0
"829","C2orf88",2.07190236,2.575869602,1041,1.4e-263
"833","CATSPERE",2.377879885,2.572262311,441,1.14e-115
"836","AC008700.1",4.012661991,2.56180415,534,5.12e-201
"839","EPHB1",2.976821978,2.557441885,364,5.53e-84
"842","TTLL9",2.294339976,2.552586071,701,9.3e-191
"844","LINC00637",4.267507472,2.549876256,250,6.74e-84
"847","AL359546.1",3.393775002,2.543529241,236,5.25e-81
"850","LHFPL3-AS1",4.878817445,2.53869568,668,3.44e-271
"852","GCC2-AS1",2.801488436,2.532581944,403,4e-128
"856","HLA-DRB1",2.210853285,2.529041312,505,2.73e-117
"858","PURPL",1.853326873,2.527641657,1097,2.92e-188
"859","CCDC196",8.508353062,2.526829618,280,5.61e-117
"860","AC090115.1",8.320472266,2.526543008,251,3.64e-107
"867","AC104461.1",4.871437601,2.519659075,217,2.06e-84
"869","ADAMTS6",1.935262723,2.512827573,924,2.52e-149
"870","KIF4A",2.067759357,2.506928749,653,2.3e-125
"872","EYA1",1.902647662,2.504570295,911,1.55e-185
"873","LINC00513",2.131261272,2.504098498,825,6.04e-184
"874","SLCO6A1",7.009644345,2.503882668,211,0
"877","INTS9",1.892097838,2.499793105,1470,0
"882","AP001021.3",8.799533004,2.49170057,289,6.47e-119
"885","SGO1-AS1",2.927349273,2.488805383,266,5.1e-82
"888","DISC1FP1",5.589161113,2.485915627,204,2.09e-84
"894","AC008629.1",2.830698972,2.476369287,322,1.2e-99
"895","NCMAP",1.978733883,2.474749556,677,8.73e-178
"901","ATP6V0D2",1.831543905,2.468124783,1888,0
"907","SLC24A3",4.470230771,2.463606669,212,5.11e-71
"908","AC006145.1",3.193572699,2.46333188,257,6.12e-84
"911","AL096794.1",2.713102894,2.458358665,221,4.85e-66
"913","ADAMTS3",1.791843768,2.456351509,2314,0
"915","AC093865.1",8.725242313,2.455249767,288,8.62e-118
"917","DNAH7",1.846904714,2.452278979,1874,0
"918","INSL6",2.514662558,2.449585636,552,5.57e-130
"919","LINC00910",1.969815252,2.449316586,850,7.32e-194
"920","KCNQ1",1.972990273,2.444159468,725,2.8e-148
"921","AC112722.1",8.620526496,2.442803498,370,1.11e-157
"927","PKN2-AS1",2.860282736,2.438542545,359,2.24e-106
"932","FREM1",3.396706048,2.435198404,259,3.87e-80
"935","CCDC192",8.354491141,2.430018539,219,1.09e-90
