"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"2055","ZFP64",330,"ZFP64","OK","treatmentcontrol",1.047694842,0.110977499,9.440605967,6.85e-21,1.355492606,"count",1.54e-16
"2056","ZNF559",509,"ZNF559","OK","treatmentcontrol",1.006756602,0.090780524,11.09000646,4.45e-28,1.351878388,"count",1.04e-23
"2058","LCA5L",323,"LCA5L","OK","treatmentcontrol",1.049117318,0.12043323,8.711194721,4.71e-18,1.350512765,"count",1.03e-13
"2059","ANGEL1",303,"ANGEL1","OK","treatmentcontrol",1.056552296,0.113555436,9.30428635,2.41e-20,1.350285635,"count",5.38e-16
"2060","NEMP1",238,"NEMP1","OK","treatmentcontrol",1.103849011,0.141163665,7.819639807,7.11e-15,1.348920621,"count",1.51e-10
"2062","C2orf81",347,"C2orf81","OK","treatmentcontrol",1.033385237,0.100830158,10.24877135,2.8e-24,1.341402505,"count",6.4e-20
"2063","RMDN2",216,"RMDN2","OK","treatmentcontrol",1.104283699,0.139191826,7.933538415,2.91e-15,1.341393309,"count",6.2e-11
"2067","DNAAF1",308,"DNAAF1","OK","treatmentcontrol",1.042309939,0.128010743,8.142362992,5.47e-16,1.328404532,"count",1.18e-11
"2068","AL355999.1",286,"AL355999.1","OK","treatmentcontrol",1.051036562,0.127426586,8.248173298,2.31e-16,1.326512007,"count",4.99e-12
"2069","ZNF41",299,"ZNF41","OK","treatmentcontrol",1.038203158,0.129739148,8.002235026,1.68e-15,1.322897558,"count",3.61e-11
"2070","ZNF133",322,"ZNF133","OK","treatmentcontrol",1.02789704,0.114167147,9.003439807,3.64e-19,1.319484378,"count",8.06e-15
"2071","ZNF45",216,"ZNF45","OK","treatmentcontrol",1.09291994,0.143144234,7.635095807,2.95e-14,1.317959551,"count",6.22e-10
"2072","CCKBR",275,"CCKBR","OK","treatmentcontrol",1.00415202,0.124871913,8.041456231,1.23e-15,1.317040614,"count",2.64e-11
"2073","SAXO2",373,"SAXO2","OK","treatmentcontrol",1.007762132,0.107751645,9.352638012,1.55e-20,1.315191055,"count",3.46e-16
"2074","TTC25",315,"TTC25","OK","treatmentcontrol",1.025029605,0.120607964,8.498855092,2.88e-17,1.306612718,"count",6.27e-13
"2075","ZNF440",298,"ZNF440","OK","treatmentcontrol",1.028114361,0.12465407,8.247740013,2.32e-16,1.305125388,"count",5e-12
"2076","PHKA1",274,"PHKA1","OK","treatmentcontrol",1.033178945,0.132294715,7.809676663,7.68e-15,1.302712111,"count",1.63e-10
"2077","MYO15B",347,"MYO15B","OK","treatmentcontrol",1.008295323,0.108916794,9.257482568,3.7e-20,1.301141298,"count",8.24e-16
"2078","Z93930.2",291,"Z93930.2","OK","treatmentcontrol",1.011295705,0.12196866,8.291439029,1.62e-16,1.290864923,"count",3.5e-12
"2080","POU6F1",234,"POU6F1","OK","treatmentcontrol",1.04171723,0.131725938,7.908216444,3.55e-15,1.279627178,"count",7.56e-11
"2081","SLC30A4",225,"SLC30A4","OK","treatmentcontrol",1.045378996,0.148096375,7.058775039,2.05e-12,1.277404865,"count",4.21e-08
"2082","TRIM35",229,"TRIM35","OK","treatmentcontrol",1.046658223,0.136930124,7.643739708,2.76e-14,1.27663442,"count",5.82e-10
"2083","ZNF823",248,"ZNF823","OK","treatmentcontrol",1.033021799,0.133146737,7.75852134,1.14e-14,1.274787875,"count",2.42e-10
"2084","PGAP3",247,"PGAP3","OK","treatmentcontrol",1.026738034,0.122484506,8.382595237,7.61e-17,1.268623554,"count",1.65e-12
"2085","ZNF552",264,"ZNF552","OK","treatmentcontrol",1.000644664,0.131552609,7.606422011,3.67e-14,1.247696126,"count",7.72e-10
"2086","ALKBH8",220,"ALKBH8","OK","treatmentcontrol",1.014167278,0.139546877,7.267574182,4.56e-13,1.24355365,"count",9.48e-09
"2087","AC091607.2",207,"AC091607.2","OK","treatmentcontrol",1.03006068,0.164793764,6.250604733,4.62e-10,1.224573794,"count",9.14e-06
"2088","AGAP4",219,"AGAP4","OK","treatmentcontrol",1.003307782,0.133989893,7.48793626,8.96e-14,1.210132122,"count",1.88e-09
